date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-10-15,48.85,55.89,62.54,39.4,2540375,11216271360.0,90.43,118.41,30.3,71.21
2020-10-16,48.89,48.9,55.76,47.9,1825767,9291298048.0,14.06,-12.51,-6.99,51.18
2020-10-19,46.89,45.09,47.39,44.78,1147845,5269685504.0,5.34,-7.79,-3.81,32.18
2020-10-20,45.29,47.79,49.09,45.29,1081707,5132022272.0,8.43,5.99,2.7,30.32
2020-10-21,46.89,47.39,50.03,45.79,1152435,5539716608.0,8.87,-0.84,-0.4,32.3
2020-10-22,46.7,48.54,49.76,46.41,866631,4198742992.0,7.07,2.43,1.15,24.29
2020-10-23,49.12,47.79,49.37,47.24,743955,3592974128.0,4.39,-1.55,-0.75,20.85
2020-10-26,47.24,46.28,47.37,45.74,517570,2410431728.0,3.41,-3.16,-1.51,14.51
2020-10-27,45.94,44.42,46.19,43.61,723613,3242064592.0,5.57,-4.02,-1.86,20.28
2020-10-28,44.19,45.19,45.39,43.74,528242,2367255008.0,3.71,1.73,0.77,14.81
2020-10-29,44.2,44.36,45.06,43.95,417073,1860893200.0,2.46,-1.84,-0.83,11.69
2020-10-30,44.52,45.88,47.77,44.52,764673,3533501632.0,7.33,3.43,1.52,21.44
2020-11-02,47.89,51.54,52.26,46.89,1191537,5887609088.0,11.7,12.34,5.66,33.4
2020-11-03,51.17,51.05,54.3,50.34,1066814,5573436672.0,7.68,-0.95,-0.49,29.9
2020-11-04,51.69,53.63,54.17,50.94,928609,4897242880.0,6.33,5.05,2.58,26.03
2020-11-05,53.29,53.79,56.55,52.14,979700,5300962048.0,8.22,0.3,0.16,27.46
2020-11-06,53.79,60.79,61.39,53.37,1099245,6256617984.0,14.91,13.01,7.0,30.81
2020-11-09,60.89,61.55,64.53,58.47,1106056,6764569344.0,9.97,1.25,0.76,31.0
2020-11-10,61.55,63.58,65.78,60.12,937081,5945302272.0,9.2,3.3,2.03,26.27
2020-11-11,62.55,60.07,66.44,59.02,1082398,6910152192.0,11.67,-5.52,-3.51,30.34
2020-11-12,60.19,65.58,66.55,58.79,1033246,6445766656.0,12.92,9.17,5.51,28.96
2020-11-13,64.47,64.4,66.88,63.29,811762,5290888704.0,5.47,-1.8,-1.18,22.76
2020-11-16,66.37,72.05,72.79,64.55,939000,6491561216.0,12.8,11.88,7.65,26.32
2020-11-17,71.31,73.96,75.85,70.46,913802,6697040384.0,7.48,2.65,1.91,25.62
2020-11-18,73.74,73.61,75.17,72.2,540117,3972815728.0,4.02,-0.47,-0.35,15.14
2020-11-19,74.09,67.9,74.47,67.42,934251,6540468480.0,9.58,-7.76,-5.71,26.19
2020-11-20,67.91,72.28,73.18,67.91,772979,5516176384.0,7.76,6.45,4.38,21.67
2020-11-23,72.09,72.55,73.25,70.0,583552,4190538944.0,4.5,0.37,0.27,16.36
2020-11-24,71.66,69.51,72.38,67.88,651254,4558348544.0,6.2,-4.19,-3.04,18.26
2020-11-25,69.88,67.57,70.33,66.55,510770,3476569376.0,5.44,-2.79,-1.94,14.32
2020-11-26,67.42,68.76,70.18,67.39,436640,3007982528.0,4.13,1.76,1.19,12.24
2020-11-27,68.06,66.63,68.88,65.84,453471,3044225440.0,4.42,-3.1,-2.13,12.71
2020-11-30,67.22,69.66,70.12,66.19,590510,4070191664.0,5.9,4.55,3.03,16.55
2020-12-01,69.19,69.6,70.03,68.29,375576,2601456080.0,2.5,-0.09,-0.06,10.53
